transaction_id,account_id,customer_id,transaction_timestamp,transaction_type,amount,currency,merchant_id,merchant_category,country,channel,status
TXN000001,ACC001,CUST001,2026-01-01T09:30:15,DEBIT,125.50,AUD,MER001,GROCERY,AU,CARD,COMPLETED
TXN000002,ACC002,CUST002,2026-01-01T10:14:32,CREDIT,2500.00,AUD,,SALARY,AU,BANK_TRANSFER,COMPLETED
TXN000003,ACC001,CUST001,2026-01-01T12:44:08,DEBIT,49.99,AUD,MER002,RETAIL,AU,ONLINE,COMPLETED
TXN000004,ACC003,CUST003,2026-01-01T13:05:43,DEBIT,350.00,AUD,MER003,TRAVEL,AU,CARD,COMPLETED
TXN000005,ACC004,CUST004,2026-01-01T14:21:09,CREDIT,1200.00,AUD,,TRANSFER,AU,BANK_TRANSFER,COMPLETED
TXN000006,ACC005,CUST005,2026-01-01T15:47:17,DEBIT,895.40,AUD,MER004,OFFICE_SUPPLIES,AU,CARD,COMPLETED
TXN000007,ACC006,CUST006,2026-01-02T08:12:58,DEBIT,85.75,AUD,MER005,FUEL,AU,CARD,COMPLETED
TXN000008,ACC007,CUST007,2026-01-02T09:44:22,DEBIT,2100.00,AUD,MER006,ELECTRONICS,AU,ONLINE,COMPLETED
TXN000009,ACC008,CUST008,2026-01-02T10:31:40,CREDIT,7500.00,AUD,,CLIENT_PAYMENT,AU,BANK_TRANSFER,COMPLETED
TXN000010,ACC009,CUST009,2026-01-02T11:26:13,DEBIT,32.80,AUD,MER007,CAFE,AU,CARD,COMPLETED
TXN000011,ACC010,CUST010,2026-01-02T12:03:50,CREDIT,3200.00,AUD,,SALARY,AU,BANK_TRANSFER,COMPLETED
TXN000012,ACC001,CUST001,2026-01-02T13:18:44,DEBIT,270.10,AUD,MER008,UTILITIES,AU,DIRECT_DEBIT,COMPLETED
TXN000013,ACC002,CUST002,2026-01-02T14:52:27,DEBIT,145.00,AUD,MER009,RESTAURANT,AU,CARD,COMPLETED
TXN000014,ACC003,CUST003,2026-01-03T08:06:41,CREDIT,500.00,AUD,,CARD_PAYMENT,AU,BANK_TRANSFER,COMPLETED
TXN000015,ACC004,CUST004,2026-01-03T09:33:12,DEBIT,78.25,AUD,MER010,PHARMACY,AU,CARD,COMPLETED
TXN000016,ACC005,CUST005,2026-01-03T10:47:06,DEBIT,1320.45,AUD,MER011,WHOLESALE,AU,BANK_TRANSFER,COMPLETED
TXN000017,ACC006,CUST006,2026-01-03T11:18:39,DEBIT,44.90,AUD,MER012,GROCERY,AU,CARD,FAILED
TXN000018,ACC007,CUST007,2026-01-03T12:54:55,DEBIT,620.00,AUD,MER013,TRAVEL,AU,ONLINE,PENDING
TXN000019,ACC008,CUST008,2026-01-03T14:25:31,CREDIT,9850.00,AUD,,CLIENT_PAYMENT,AU,BANK_TRANSFER,COMPLETED
TXN000020,ACC010,CUST010,2026-01-03T16:07:48,DEBIT,199.99,AUD,MER014,RETAIL,AU,ONLINE,COMPLETED
