account_id,customer_id,account_type,account_status,open_date,currency,current_balance,credit_limit,branch_id
ACC001,CUST001,SAVINGS,ACTIVE,2024-01-20,AUD,8250.75,,BR001
ACC002,CUST002,TRANSACTION,ACTIVE,2024-02-12,AUD,3420.10,,BR002
ACC003,CUST003,CREDIT_CARD,ACTIVE,2024-02-25,AUD,-1245.60,10000.00,BR003
ACC004,CUST004,SAVINGS,ACTIVE,2024-03-07,AUD,15640.00,,BR004
ACC005,CUST005,BUSINESS,ACTIVE,2024-03-22,AUD,42850.25,,BR005
ACC006,CUST006,TRANSACTION,ACTIVE,2024-04-05,AUD,7890.40,,BR001
ACC007,CUST007,CREDIT_CARD,ACTIVE,2024-04-20,AUD,-3520.15,7500.00,BR002
ACC008,CUST008,BUSINESS,ACTIVE,2024-05-04,AUD,67500.90,,BR006
ACC009,CUST009,SAVINGS,ACTIVE,2024-05-23,AUD,2275.55,,BR007
ACC010,CUST010,TRANSACTION,ACTIVE,2024-06-09,AUD,11950.80,,BR008
